,L1,L2,L3,L4,L5,L1_ver,L2_ver,L3_ver,L4_ver,L5_ver,[INV] Invoice ID
367,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Pinch valves,Pinch valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,57
368,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Plug valves,Plug valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,32
369,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Pneumatic valves,Pneumatic valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,23
370,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Poppet valve,Poppet valve,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
371,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Pressure reducing valve,Pressure reducing valve,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
372,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Relief valves,Relief valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,88
373,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Safety valves,Safety valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,696
374,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Slider valves,Slider valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,28
375,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Solenoid valves,Solenoid valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2400
376,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Toilet flush valve,Toilet flush valve,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1216
377,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Valve kits,Valve kits,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,95
378,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Valve parts or accessories,Valve parts or accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,202
379,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Valve parts or accessories,Valve seat,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,395
380,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Valve parts or accessories,Valve stem,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,32
381,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Valves,Valves,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9463
382,Distribution and Conditioning Systems and Equipment and Components,Fluid and gas distribution,Valves,Valves and Fittings,Valves and Fittings,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,36
383,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Air circulation and parts and accessories,Air circulation and parts and accessories,Air circulation and parts and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,56
384,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Air circulation and parts and accessories,Blowers,Blowers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,61
385,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Air circulation and parts and accessories,Fans,Fans,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,955
386,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Air circulation and parts and accessories,Impellers,Impellers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,42
387,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Boilers,Boilers,Boilers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,132
388,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Cooling equipment and parts and accessories,Air conditioners,Air conditioners,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2541
389,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Cooling equipment and parts and accessories,Condensing units,Condensing units,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,68
390,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Cooling equipment and parts and accessories,Cooling equipment and parts and accessories,Cooling equipment and parts and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,290
391,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Cooling equipment and parts and accessories,Cooling tower,Cooling tower,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,222
392,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating and ventilation and air circulation,Heating and ventilation and air circulation,Heating and ventilation and air circulation,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1265
393,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating equipment and parts and accessories,Band heaters,Band heaters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,90
394,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating equipment and parts and accessories,Boiler parts and accessories,Boiler parts and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
395,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating equipment and parts and accessories,Burners,Burners,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,25
396,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating equipment and parts and accessories,Commercial water heaters,Commercial water heaters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,518
397,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating equipment and parts and accessories,Domestic water heaters,Domestic water heaters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,500
398,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating equipment and parts and accessories,Heat exchangers,Heat exchangers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,360
399,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Heating equipment and parts and accessories,Heating equipment and parts and accessories,Heating equipment and parts and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1669
400,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Ventilation,Ventilation,Ventilation,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,31
401,Distribution and Conditioning Systems and Equipment and Components,Heating and ventilation and air circulation,Ventilation,Vents,Vents,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
402,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filter media,Filter cartridge,Filter cartridge,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,282
403,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filter media,Filter cloth,Filter cloth,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,58
404,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filter media,Filter element,Filter element,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,820
405,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filter media,Filter media,Filter media,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,4
406,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filter media,Pressed felts,Pressed felts,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,33
407,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Air filters,Air filters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,746
408,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Bag filters,Bag filters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,892
409,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Dust collectors,Dust collectors,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,336
410,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Filter repair kits,Filter repair kits,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3
411,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Filters,Filters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,259
412,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Fuel filters,Fuel filters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,4
413,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Hydraulic filters,Hydraulic filters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,10
414,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Filters,Oil filters,Oil filters,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,712
415,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Industrial filtering and purification,Industrial filtering and purification,Industrial filtering and purification,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,96
416,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Purification,Air purifiers,Air purifiers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,247
417,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Separators,Separators,Separators,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,78
418,Distribution and Conditioning Systems and Equipment and Components,Industrial filtering and purification,Separators,Wet scrubbers,Wet scrubbers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,23
419,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Compressor parts or accessories,Air compressor parts,Air compressor parts,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,32
420,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Compressors,Air compressors,Air compressors,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1705
421,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Compressors,Compressors,Compressors,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,713
422,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Industrial pumps and compressors,Industrial pumps and compressors,Industrial pumps and compressors,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1200
423,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pump parts and accessories,Pump casings,Pump casings,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,34
424,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pump parts and accessories,Pump impeller,Pump impeller,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,182
425,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pump parts and accessories,Pump parts and accessories,Pump parts and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,24
426,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pump parts and accessories,Pump shaft,Pump shaft,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,84
427,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pump parts and accessories,Pump stator,Pump stator,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8
428,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Air pumps,Air pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,125
429,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Booster pump,Booster pump,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
430,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Centrifugal pumps,Centrifugal pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,439
431,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Diaphragm pumps,Diaphragm pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,72
432,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Fire pump sets,Fire pump sets,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,58
433,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Pumps,Pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3403
434,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Sludge pumps,Sludge pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3
435,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Submersible pumps,Submersible pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,124
436,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Vacuum pumps,Vacuum pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,456
437,Distribution and Conditioning Systems and Equipment and Components,Industrial pumps and compressors,Pumps,Water pumps,Water pumps,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1635
438,Domestic Appliances and Supplies and Consumer Electronic Products,Bedclothes and table and kitchen linen and towels,Bedclothes,Sheets,Sheets,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,100
439,Domestic Appliances and Supplies and Consumer Electronic Products,Bedclothes and table and kitchen linen and towels,Towels,Face towel,Face towel,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,407
440,Domestic Appliances and Supplies and Consumer Electronic Products,Bedclothes and table and kitchen linen and towels,Towels,Towels,Towels,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,87
441,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Audio and visual equipment,Audio and visual equipment,Audio and visual equipment,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,12
442,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Audio and visual equipment,Headphones,Headphones,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,100
443,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Audio and visual equipment,Light receiver,Light receiver,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,13
444,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Audio and visual equipment,Portable stereo systems,Portable stereo systems,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2991
445,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Audio and visual equipment,Remote control,Remote control,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
446,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Audio and visual equipment,Televisions,Televisions,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,116
447,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Audio and visual equipment,Wireless microphone and instrument amplification system,Wireless microphone and instrument amplification system,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
448,Domestic Appliances and Supplies and Consumer Electronic Products,Consumer electronics,Consumer electronics,Consumer electronics,Consumer electronics,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,835
449,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic appliances,Domestic appliances,Domestic appliances,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,592
450,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic bath appliances,Domestic hair dryers,Domestic hair dryers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
451,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic kitchen appliances,Domestic combination refrigerator freezers,Domestic combination refrigerator freezers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,26
452,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic kitchen appliances,Domestic garbage disposals,Domestic garbage disposals,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,132
453,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic kitchen appliances,Domestic kitchen appliances,Domestic kitchen appliances,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,46
454,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic kitchen appliances,Domestic microwave ovens,Domestic microwave ovens,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
455,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic kitchen appliances,Domestic portable air conditioners,Domestic portable air conditioners,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,165
456,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Domestic kitchen appliances,Domestic refrigerators,Domestic refrigerators,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,6
457,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic appliances,Other domestic household appliances,Domestic electric fan,Domestic electric fan,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,80
458,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic kitchenware and kitchen supplies,Domestic dishes and servingware and storage containers,Lunch box,Lunch box,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,116
459,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic kitchenware and kitchen supplies,Domestic disposable kitchenware,Domestic disposable cups or glasses or lids,Paper cups,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,919
460,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic kitchenware and kitchen supplies,Domestic kitchen tools and utensils,Domestic cutting boards,Domestic cutting boards,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,15
461,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic kitchenware and kitchen supplies,Domestic kitchen tools and utensils,Vegetable peeler,Vegetable peeler,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,84
462,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic kitchenware and kitchen supplies,Domestic kitchenware and kitchen supplies,Domestic kitchenware and kitchen supplies,Domestic kitchenware and kitchen supplies,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,18
463,Domestic Appliances and Supplies and Consumer Electronic Products,Domestic wall treatments,Bathroom wall treatments,Bathroom wall treatments,Bathroom wall treatments,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,47
464,Domestic Appliances and Supplies and Consumer Electronic Products,Window treatments,Curtains and draperies,Curtains,Curtains,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,42
465,Drugs and Pharmaceutical Products,Agents affecting water and electrolytes,Dietary supplements and nutritional therapy products,Vitamin supplements,Vitamin supplements,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,11
466,Drugs and Pharmaceutical Products,Anti infective drugs,Anti infective drugs,Anti infective drugs,Anti infective drugs,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,143
467,Drugs and Pharmaceutical Products,Anti infective drugs,Antibiotics,Amoxycillin,Amoxycillin,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,13
468,Drugs and Pharmaceutical Products,Anti infective drugs,Antibiotics,Norfloxacin,Norfloxacin,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,13
469,Drugs and Pharmaceutical Products,Anti infective drugs,Antiseptics,Antiseptics,Antiseptics,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,32
470,Drugs and Pharmaceutical Products,Autonomic nervous system drugs,Centrally acting skeletal muscle relaxants,Orphenadrine citrate,Orphenadrine citrate,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,37
471,Drugs and Pharmaceutical Products,Cardiovascular drugs,Antihypertensive drugs,Amlodipine besylate,Amlodipine besylate,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,28
472,Drugs and Pharmaceutical Products,Central nervous system drugs,Non narcotic analgesics and antipyretics,Mefenamic acid,Mefenamic acid,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,47
473,Drugs and Pharmaceutical Products,Central nervous system drugs,Nonsteroidal anti inflammatory drugs NSAIDs,Diclofenac,Diclofenac,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,20
474,Drugs and Pharmaceutical Products,Central nervous system drugs,Nonsteroidal anti inflammatory drugs NSAIDs,Ibuprofen,Ibuprofen,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,60
475,Drugs and Pharmaceutical Products,"Drugs affecting the ears, eye, nose and skin",Dermatologic agents,Calamine,Calamine,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2
476,Drugs and Pharmaceutical Products,Drugs affecting the gastrointestinal system,Antacids and antiflatulents,Aluminium hydroxide,Aluminium hydroxide,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
477,Drugs and Pharmaceutical Products,Drugs affecting the gastrointestinal system,Laxatives,Glycerine,Glycerine,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
478,Drugs and Pharmaceutical Products,Drugs affecting the gastrointestinal system,Laxatives,Methylcellulose,Methylcellulose,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,66
479,Drugs and Pharmaceutical Products,Drugs affecting the respiratory tract,Antihistamines or H1 blockers,Antihistamines or H1 blockers,Antihistamines or H1 blockers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,48
480,Drugs and Pharmaceutical Products,Drugs affecting the respiratory tract,Antihistamines or H1 blockers,Loratadine,Loratadine,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5
481,Drugs and Pharmaceutical Products,Hematolic drugs,Anticoagulants,Anticoagulants,Anticoagulants,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,22
482,Drugs and Pharmaceutical Products,Hormones and hormone antagonists,Corticosteroids,Betamethasone,Betamethasone,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5
483,Drugs and Pharmaceutical Products,Hormones and hormone antagonists,Corticosteroids,Triamcinolone,Triamcinolone,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,9
484,Drugs and Pharmaceutical Products,Miscellaneous drug categories,Antidotes and emetics,Copper sulfate,Copper sulfate,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5
485,Editorial and Design and Graphic and Fine Art Services,Advertising,Advertising,Advertising,Advertising,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2063
486,Editorial and Design and Graphic and Fine Art Services,Advertising,Advertising agency services,Advertising agency services,Advertising agency services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,102
487,Editorial and Design and Graphic and Fine Art Services,Advertising,Advertising agency services,Advertising campaign services,Advertising campaign services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2
488,Editorial and Design and Graphic and Fine Art Services,Advertising,Broadcast advertising,Cinema advertising,Cinema advertising,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1
489,Editorial and Design and Graphic and Fine Art Services,Advertising,Broadcast advertising,Radio advertising,Radio advertising,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,12
490,Editorial and Design and Graphic and Fine Art Services,Advertising,Broadcast advertising,Television advertising,Television advertising,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,142
491,Editorial and Design and Graphic and Fine Art Services,Advertising,Digital Social media,Digital Social media,Digital Social media,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,136
492,Editorial and Design and Graphic and Fine Art Services,Advertising,Print advertising,Billboard advertising,Billboard advertising,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,47
493,Editorial and Design and Graphic and Fine Art Services,Advertising,Print advertising,Print advertising,Print advertising,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,151
494,Editorial and Design and Graphic and Fine Art Services,Graphic design,Graphic design,Graphic design,Graphic design,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,86
495,Editorial and Design and Graphic and Fine Art Services,Reproduction services,Photocopying,Photocopying,Photocopying,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5945
496,Editorial and Design and Graphic and Fine Art Services,Reproduction services,Printing,Printing,Printing,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,2147
497,Editorial and Design and Graphic and Fine Art Services,Reproduction services,Publishing,Publishing,Publishing,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,16
498,Editorial and Design and Graphic and Fine Art Services,Writing and translations,Writing and translations,Writing and translations,Writing and translations,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5
499,Education and Training Services,Alternative educational systems,Alternative educational systems,Alternative educational systems,Alternative educational systems,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,11
500,Education and Training Services,Educational institutions,Educational institutions,Educational institutions,Educational institutions,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,22
501,Education and Training Services,Educational institutions,Elementary and secondary schools,Elementary and secondary schools,Elementary and secondary schools,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,5
502,Education and Training Services,Educational institutions,Professional schools,Professional schools,Professional schools,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,7
503,Education and Training Services,Educational institutions,University and colleges,University and colleges,University and colleges,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,76
504,Education and Training Services,Vocational training,Scientific vocational training services,Scientific vocational training services,Scientific vocational training services,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,38
505,Education and Training Services,Vocational training,Vocational training,Vocational training,Vocational training,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,11061
506,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Air circuit breakers,Air circuit breakers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,15
507,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Circuit breakers,Circuit breakers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1963
508,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Circuit protection devices and accessories,Circuit protection devices and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,997
509,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Earth leakage circuit breakers,Earth leakage circuit breakers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3
510,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Fuses,Blade fuses,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,27
511,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Fuses,Cartridge fuses,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,26
512,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Fuses,Fuses,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,56
513,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Lightning protection apparatus and accessories,Lightning protection apparatus and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,8
514,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Miniature circuit breakers,Miniature circuit breakers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,1083
515,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Circuit protection devices and accessories,Molded case circuit breakers,Molded case circuit breakers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,221
516,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Distribution and control centers and accessories,Distribution and control centers and accessories,Distribution and control centers and accessories,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,329
517,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Distribution and control centers and accessories,Lighting control systems,Lighting control systems,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,3
518,Electrical Systems and Lighting and Components and Accessories and Supplies,Electrical equipment and components and supplies,Distribution and control centers and accessories,Load centers,Load centers,Not Yet,Not Yet,Not Yet,Not Yet,Not Yet,196
